headroom_bytes	size	fuzzy_pct	function	unit	source_path	pp_value
2078.4	2596	19.94	fn_80089F78	main/game/gba/gba_misc_candidate_80089F78	src/game/gba/gba_misc_candidate_80089F78.c	0.0833
2068.0	2072	0.19	fn_801D624C	main/game/wazaViewer_candidate_801D53D8	src/game/wazaViewer_candidate_801D53D8.c	0.08288
2064.0	2064	0.0	fn_80041E48	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.08272
2036.0	2036	0.0	fn_800679C0	main/game/menu/menuCB_range_800676EC	src/game/menu/menuCB_range_800676EC.c	0.0816
2020.0	2020	0.0	fn_80047CC0	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.08096
1988.0	1992	0.2	GScolsys2ThruGetFixedMdlEventList	main/game/GScolsys2Thru_range_80110084	src/game/GScolsys2Thru_range_80110084.c	0.07968
1952.0	1956	0.2	fn_801DFC30	main/game/field_range_801DF790	src/game/field_range_801DF790.c	0.07823
1932.0	1936	0.21	fn_801B50C0	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.07743
1924.0	1924	0.0	fn_800E2DB0	main/game/gs_mem	src/game/gs_mem.c	0.07711
1916.6	2552	24.9	fn_8008BBDC	main/game/gba/gba_misc_candidate_8008ABE4	src/game/gba/gba_misc_candidate_8008ABE4.c	0.07681
1916.0	1916	0.0	_modelParseJObjDispAll__FP9_HSD_JObjP5GSmtx12HSD_TrspMaskbPFP9_HSD_PObjP5GSmtxP5GSmtxP5GSmtxPv_vPv	main/game/gs_model_parse_candidate_800E9E90	src/game/gs_model_parse_candidate_800E9E90.c	0.07679
1908.0	1908	0.0	__pformatter_800C88BC	main/crt/printf_candidate_800C8864	src/crt/printf_candidate_800C8864.c	0.07647
1892.0	1896	0.21	fightTrainerSetStatus	main/game/fight_trainer_range_801FAA58	src/game/fight_trainer_range_801FAA58.c	0.07583
1880.0	1884	0.21	fn_8018E1C4	main/game/people/people	src/game/people/people.c	0.07535
1880.0	1880	0.0	drawShapeAnim	main/hsd/hsd_pobj_range_801AA608	src/hsd/hsd_pobj_range_801AA608.c	0.07535
1878.0	3004	37.48	resolveIKJoint1	main/hsd/hsd_jobj	src/hsd/hsd_jobj.c	0.07527
1872.0	1872	0.0	fn_80063060	main/game/menu/menuCB_range_80062948	src/game/menu/menuCB_range_80062948.c	0.07503
1868.0	1868	0.0	fn_801AF560	main/hsd/hsd_robj_range_801AEBE4		0.07487
1856.0	1856	0.0	fn_8003DC54	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.07439
1848.0	1848	0.0	psDispSub	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.07406
1844.0	1848	0.22	fightTrainerGetStatus	main/game/fight_trainer_range_801FAA58	src/game/fight_trainer_range_801FAA58.c	0.0739
1836.0	1840	0.22	fn_801D7464	main/game/wazaViewer_candidate_801D7464	src/game/wazaViewer_candidate_801D7464.c	0.07358
1832.0	1832	0.0	fn_80051710	main/game/fight_range_80051710	src/game/fight_range_80051710.c	0.07342
1820.0	1824	0.22	fn_80100B24	main/game/gs_floor	src/game/gs_floor.c	0.07294
1820.0	1820	0.0	float2str	main/crt/printf_candidate_800C8864	src/crt/printf_candidate_800C8864.c	0.07294
1784.0	1784	0.0	fn_8003B85C	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.0715
1780.0	1780	0.0	psDispSubAPPSRTPoint	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.07134
1755.0	2708	35.19	fn_801A20C8	main/hsd/hsd_jobj_residual_801A1B7C	src/hsd/hsd_jobj_residual_801A1B7C.c	0.07034
1752.0	1752	0.0	psSetupTev	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.07022
1736.0	1736	0.0	fn_8005DFC8	main/game/menu/menuCB_BattleStart	src/game/menu/menuCB_BattleStart.c	0.06958
1732.8	1768	1.99	fn_801B65F0	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.06945
1728.2	1736	0.45	fn_801B750C	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.06926
1712.0	1716	0.23	_wazaSequenceParticleEntryStart	main/game/wazaSequenceEntry	src/game/wazaSequenceEntry.c	0.06861
1668.0	1668	0.0	fn_8009CE8C	main/dolphin/sdk_range_8009BD84	src/dolphin/sdk_range_8009BD84.c	0.06685
1652.0	1656	0.24	fn_8018524C	main/game/people/people	src/game/people/people.c	0.06621
1648.0	1652	0.24	TObjMakeTExp	main/hsd/hsd_tobj_candidate_801BBDDC	src/hsd/hsd_tobj_candidate_801BBDDC.c	0.06605
1640.0	1644	0.24	fn_801B0EB8	main/hsd/hsd_shadow_candidate_801B06DC	src/hsd/hsd_shadow_candidate_801B06DC.c	0.06573
1637.9	1728	5.21	fn_800DB098	main/game/gs_gfx_range_800DB098	src/game/gs_gfx_range_800DB098.c	0.06564
1636.0	1636	0.0	fn_80063D14	main/game/menu/menuCB_range_80063D14	src/game/menu/menuCB_range_80063D14.c	0.06557
1628.0	1628	0.0	fn_8003C7C0	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.06525
1620.0	1624	0.25	fn_80179FA4	main/game/camera_candidate_80179E04	src/game/camera_candidate_80179E04.c	0.06493
1544.0	1548	0.26	fn_801BE85C	main/hsd/hsd_tobj_candidate_801BBDDC	src/hsd/hsd_tobj_candidate_801BBDDC.c	0.06188
1536.0	1540	0.26	_wazaSequenceModelEntryStart	main/game/wazaSequenceEntry	src/game/wazaSequenceEntry.c	0.06156
1535.4	1588	3.31	battleGridUpdate	main/game/battle/battle_grid_residual_801C3114	src/game/battle/battle_grid_residual_801C3114.c	0.06154
1528.0	1528	0.0	HSD_RObjLoadDesc	main/hsd/hsd_robj_range_801AE008		0.06124
1525.0	2428	37.19	fn_80084038	main/game/menu/cardesavedata	src/game/menu/cardesavedata.c	0.06112
1512.0	1516	0.26	fn_8010E53C	main/game/gs_range_8010CBD0	src/game/gs_range_8010CBD0.c	0.0606
1512.0	1512	0.0	fn_800EB904	main/game/gs_model_bound_candidate_800EB5A0	src/game/gs_model_bound_candidate_800EB5A0.c	0.0606
1504.0	1504	0.0	_modelShadowAddAsNewReceiver__FP8_GSmodelP8_GSmodelP7GSlightP7GSbound	main/game/gs_model_shadow_candidate_800E92D8	src/game/gs_model_shadow_candidate_800E92D8.c	0.06028
1481.0	1840	19.51	fn_800D6B00	main/game/gs_gfx_layer_candidate_800D6B00	src/game/gs_gfx_layer_candidate_800D6B00.c	0.05936
1480.0	1484	0.27	fn_801DE698	main/game/gs_range_801DE698	src/game/gs_range_801DE698.c	0.05932
1471.6	2144	31.36	fn_8017E30C	main/game/fsys/fsys_file_candidate_8017D410	src/game/fsys/fsys_file_candidate_8017D410.c	0.05898
1468.0	1472	0.27	fn_801129CC	main/game/floor	src/game/floor.c	0.05884
1455.0	1520	4.28	fightOutPokemonGetRndStatus	main/game/fight_pokemon_range_801FDB78	src/game/fight_pokemon_range_801FDB78.c	0.05831
1452.0	1452	0.0	fn_80062AB4	main/game/menu/menuCB_range_80062948	src/game/menu/menuCB_range_80062948.c	0.05819
1440.4	3016	52.24	fn_80080310	main/game/menu/cardesavedata	src/game/menu/cardesavedata.c	0.05773
1432.0	1432	0.0	fn_801E09E0	main/game/gs_candidate_801E09E0	src/game/gs_candidate_801E09E0.c	0.05739
1430.0	1508	5.17	GSlogWritef	main/game/gs_log	src/game/gs_log.c	0.05731
1430.0	1508	5.17	GSlogWrite	main/game/gs_log	src/game/gs_log.c	0.05731
1428.1	1540	7.26	fn_801BB4C4	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.05724
1424.2	1632	12.73	fn_80181850	main/game/people/people	src/game/people/people.c	0.05708
1420.0	1420	0.0	fn_80056084	main/game/menu/menuCB_prefix_80055E38	src/game/menu/menuCB_prefix_80055E38.c	0.05691
1416.0	1420	0.28	fn_80186B5C	main/game/people/people	src/game/people/people.c	0.05675
1416.0	1416	0.0	fn_801D0DB0	main/game/battle/battle_candidate_801D0C30	src/game/battle/battle_candidate_801D0C30.c	0.05675
1415.7	1840	23.06	fn_800E0E14	main/game/gs_range_800E0DDC	src/game/gs_range_800E0DDC.c	0.05674
1408.0	1408	0.0	HSD_TObjAssignResources	main/hsd/hsd_tobj_candidate_801BBDDC	src/hsd/hsd_tobj_candidate_801BBDDC.c	0.05643
1407.4	1888	25.46	resolveIKJoint2	main/hsd/hsd_jobj	src/hsd/hsd_jobj.c	0.05641
1397.7	1468	4.79	fn_8013EA44	main/game/effect/effect_visual_candidate_8013E8A4	src/game/effect/effect_visual_candidate_8013E8A4.c	0.05602
1396.0	1400	0.29	_cameraPadRotateUpdate__FP9_GScamera	main/game/camera_candidate_801786F4	src/game/camera_candidate_801786F4.c	0.05595
1391.5	2108	33.99	fn_80140ACC	main/game/people/people_data	src/game/people/people_data.c	0.05577
1376.0	1380	0.29	fn_801DD5E8	main/game/sequence_candidate_801DD45C	src/game/sequence_candidate_801DD45C.c	0.05515
1376.0	1376	0.0	fn_801A9DF0	main/hsd/hsd_mobj_candidate_801A958C	src/hsd/hsd_mobj_candidate_801A958C.c	0.05515
1360.8	4676	70.9	FObjLoadData	main/hsd/hsd_dobj	src/hsd/hsd_dobj.c	0.05454
1360.8	1368	0.53	fn_800DE128	main/game/gs_log	src/game/gs_log.c	0.05454
1348.0	1352	0.3	_wazaSequenceCameraDoDollyPosition__FP21TemplateExpFileHeaderP24wazaSequenceCameraParamsfb	main/game/wazaSequenceCamera	src/game/wazaSequenceCamera.c	0.05403
1342.4	1348	0.42	fn_800FAEF8	main/game/gs_msg	src/game/gs_msg.c	0.0538
1340.0	1344	0.3	TObjSetupMtx	main/hsd/hsd_tobj_candidate_801BBDDC	src/hsd/hsd_tobj_candidate_801BBDDC.c	0.05371
1337.6	2468	45.8	_winSeqMoveSub	main/game/win_sequence_candidate_80107170	src/game/win_sequence_candidate_80107170.c	0.05361
1336.0	1340	0.3	fn_80186620	main/game/people/people	src/game/people/people.c	0.05354
1336.0	1340	0.3	fn_80021B14	main/game/gs_title_candidate_80021B14	src/game/gs_title_candidate_80021B14.c	0.05354
1325.7	3532	62.47	fn_801C7730	main/game/gs_range_801C766C	src/game/gs_range_801C766C.c	0.05313
1323.0	1380	4.13	TExp2TevDesc	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.05302
1316.8	1352	2.61	HSD_TExpSetReg	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.05278
1316.0	1316	0.0	fn_801A98CC	main/hsd/hsd_mobj_candidate_801A958C	src/hsd/hsd_mobj_candidate_801A958C.c	0.05274
1311.5	2192	40.17	GXInit	main/dolphin/sdk_candidate_800B5C5C	src/dolphin/sdk_candidate_800B5C5C.c	0.05256
1310.4	1468	10.74	fn_801EFA08	main/game/battle/battle_main_candidate_801EFA08	src/game/battle/battle_main_candidate_801EFA08.c	0.05252
1296.9	1372	5.47	fn_8013D0A8	main/game/effect/effect_visual_candidate_8013C670	src/game/effect/effect_visual_candidate_8013C670.c	0.05198
1296.0	1300	0.31	_wazaSequenceCameraDoFOV__FP13ModelSequenceP24wazaSequenceCameraParamsif	main/game/wazaSequenceCamera	src/game/wazaSequenceCamera.c	0.05194
1295.0	2424	46.58	fn_80059034	main/game/menu/menuColosseumBattle_pre_main	src/game/menu/menuColosseumBattle_pre_main.c	0.0519
1292.0	1292	0.0	TRKTargetAccessFP	main/trk/TRKTarget_residual_800C1A08	src/trk/TRKTarget_residual_800C1A08.c	0.05178
1284.0	1284	0.0	parse_format_800CA11C	main/crt/printf_candidate_800C8864	src/crt/printf_candidate_800C8864.c	0.05146
1276.0	1280	0.31	fn_80189490	main/game/people/people	src/game/people/people.c	0.05114
1264.2	1756	28.0	fn_800327FC	main/game/gs_npc_event_candidate_8003037C	src/game/gs_npc_event_candidate_8003037C.c	0.05067
1256.0	1256	0.0	floorEventCtrlElevator	main/game/floor_event	src/game/floor_event.c	0.05034
1255.7	1388	9.53	fn_8013A520	main/game/effect/effect_visual_candidate_8013A520	src/game/effect/effect_visual_candidate_8013A520.c	0.05033
1255.0	1324	5.21	fn_8013C074	main/game/effect/effect_visual_candidate_8013B5E4	src/game/effect/effect_visual_candidate_8013B5E4.c	0.0503
1252.0	1256	0.32	fn_801101B4	main/game/GScolsys2Thru_range_80110084	src/game/GScolsys2Thru_range_80110084.c	0.05018
1247.2	2640	52.76	fn_80069C0C	main/game/menu/menu_middle_range_80069C0C	src/game/menu/menu_middle_range_80069C0C.c	0.04999
1245.0	1544	19.36	fn_801603C0	main/musyx/musyx_candidate_8015D678	src/musyx/musyx_candidate_8015D678.c	0.0499
1240.2	1248	0.62	fn_801B600C	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.04971
1236.0	1236	0.0	fn_800473E0	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04954
1232.0	1236	0.32	fn_800210F0	main/game/gs_title_candidate_800210F0	src/game/gs_title_candidate_800210F0.c	0.04938
1224.0	1228	0.33	fn_80184D80	main/game/people/people	src/game/people/people.c	0.04906
1216.0	1216	0.0	fn_80039A84	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04874
1208.0	1212	0.33	fn_8010EB28	main/game/gs_range_8010CBD0	src/game/gs_range_8010CBD0.c	0.04841
1204.0	1204	0.0	fn_8010BD6C	main/game/gs_range_80109C88	src/game/gs_range_80109C88.c	0.04825
1203.4	1260	4.5	fn_8006C7D4	main/game/menu/menu_middle_range_8006B9B8	src/game/menu/menu_middle_range_8006B9B8.c	0.04823
1200.0	1200	0.0	fn_8018FE30	main/game/gs_range_8018FE30	src/game/gs_range_8018FE30.c	0.04809
1200.0	1200	0.0	VIInit	main/dolphin/vi/VI_candidate_800A8894	src/dolphin/vi/VI_candidate_800A8894.c	0.04809
1197.2	1240	3.45	fn_8006E9A4	main/game/menu/menu_middle_range_8006B9B8	src/game/menu/menu_middle_range_8006B9B8.c	0.04798
1192.0	1192	0.0	fn_801AE008	main/hsd/hsd_robj_range_801AE008		0.04777
1180.0	1184	0.34	fn_801DF790	main/game/field_range_801DF790	src/game/field_range_801DF790.c	0.04729
1176.0	1176	0.0	fn_8003842C	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04713
1168.0	1172	0.34	fn_8010147C	main/game/gs_floor	src/game/gs_floor.c	0.04681
1168.0	1168	0.0	fn_80060434	main/game/menu/menuCB_BattleStart	src/game/menu/menuCB_BattleStart.c	0.04681
1162.1	2916	60.15	fn_8007B6D8	main/game/menu/menu_range_8007109C	src/game/menu/menu_range_8007109C.c	0.04658
1140.0	1140	0.0	fn_800484A4	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04569
1136.0	1140	0.35	windowOpen	main/game/window_candidate_8010474C	src/game/window_candidate_8010474C.c	0.04553
1136.0	1136	0.0	fn_8003C2B8	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04553
1132.0	1136	0.35	fn_800232F0	main/game/gs_title_candidate_800232F0	src/game/gs_title_candidate_800232F0.c	0.04537
1128.0	1128	0.0	fn_80038A0C	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04521
1127.4	1532	26.41	fightTrainerAiWazaValueJibaku	main/game/fight_trainer_ai_waza_value_candidate_8024BFC0	src/game/fight_trainer_ai_waza_value_candidate_8024BFC0.c	0.04518
1124.0	1124	0.0	psDispSubPointTrail	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.04505
1120.0	1120	0.0	get_shape_vertex_xyz	main/hsd/hsd_pobj_range_801AA608	src/hsd/hsd_pobj_range_801AA608.c	0.04489
1120.0	1120	0.0	get_shape_normal_xyz	main/hsd/hsd_pobj_range_801AA608	src/hsd/hsd_pobj_range_801AA608.c	0.04489
1120.0	1120	0.0	fn_8003A7F0	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04489
1118.8	1292	13.41	HandleReverb	main/musyx/musyx_candidate_801644E0	src/musyx/musyx_candidate_801644E0.c	0.04484
1118.5	1600	30.09	fightTrainerAiWazaValueKoraeru	main/game/fight_trainer_ai_waza_value_middle	src/game/fight_trainer_ai_waza_value_middle.c	0.04483
1117.7	1364	18.06	fn_8019F1C4	main/hsd/hsd_jobj	src/hsd/hsd_jobj.c	0.0448
1115.4	1348	17.26	JObjReleaseChild	main/hsd/hsd_jobj	src/hsd/hsd_jobj.c	0.0447
1113.2	1488	25.19	fightTrainerAiWazaValueJisin	main/game/fight_trainer_ai_waza_value_candidate_8024B474	src/game/fight_trainer_ai_waza_value_candidate_8024B474.c	0.04462
1107.0	2320	52.28	fn_800D892C	main/game/gs_gfx_layer_candidate_800D892C	src/game/gs_gfx_layer_candidate_800D892C.c	0.04437
1104.0	1104	0.0	_menuCBBattleStartSetIndex__Fv	main/game/menu/menuCB_BattleStart	src/game/menu/menuCB_BattleStart.c	0.04425
1100.0	1104	0.36	fn_801874BC	main/game/people/people	src/game/people/people.c	0.04409
1098.4	1104	0.51	wazaSequenceSysGetWazaTime	main/game/wazaSequenceSys_tail_candidate_801DB288	src/game/wazaSequenceSys_tail_candidate_801DB288.c	0.04402
1088.0	1088	0.0	fn_80056C54	main/game/menu/menuCB_suffix_80056B74	src/game/menu/menuCB_suffix_80056B74.c	0.04361
1080.0	1080	0.0	TRKTargetAccessExtended2	main/trk/TRKTarget_residual_800C1A08	src/trk/TRKTarget_residual_800C1A08.c	0.04328
1067.8	1876	43.08	fn_8001C064	main/game/menuPokemon	src/game/menuPokemon.c	0.0428
1060.0	1060	0.0	fn_801ABDD4	main/hsd/hsd_pobj_range_801AA608	src/hsd/hsd_pobj_range_801AA608.c	0.04248
1056.3	1192	11.38	_leaffxGenerateLeafData	main/game/effect/effect_visual_candidate_80138BBC	src/game/effect/effect_visual_candidate_80138BBC.c	0.04233
1052.0	1052	0.0	setupTevReg	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.04216
1046.4	1052	0.53	fn_80180C78	main/game/people/people	src/game/people/people.c	0.04194
1044.0	1044	0.0	fn_800E209C	main/game/gs_mem	src/game/gs_mem.c	0.04184
1044.0	1044	0.0	fn_8003A10C	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04184
1036.0	1036	0.0	fn_800478B4	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.04152
1035.8	1340	22.7	fightTrainerCreateFightTrainerPokemonDataIdToPokemon	main/game/fight_trainer_range_801F99C8	src/game/fight_trainer_range_801F99C8.c	0.04151
1030.1	1800	42.77	fn_800F8A54	main/game/gs_thread_hi_range_800F8268	src/game/gs_thread_hi_range_800F8268.c	0.04128
1026.6	1108	7.35	fn_8012D39C	main/game/hero_move	src/game/hero_move.c	0.04114
1024.0	1028	0.39	fn_8010E138	main/game/gs_range_8010CBD0	src/game/gs_range_8010CBD0.c	0.04104
