fn_80101AC4 -> kaisuuGetKaisuu  // game/gs_model.c callee: Identical size 0x70, same call sequence kaisuuBiosGetMax→kaisuuBiosGet
fn_80135A30 -> gamedataAttestBiosSetLangareaId  // game/effect/effect_util.c callee: Byte-identical bodies, both size 0x10 (cmplwi r3,0; beqlr; stb r4,0x3(
fn_80135A40 -> gamedataAttestBiosSetAreaId  // game/effect/effect_util.c callee: Byte-identical: both size 0x10, cmplwi r3,0/beqlr/stb r4,0x2(r3)/blr; 
fn_80135A50 -> gamedataAttestBiosSetGenId  // game/effect/effect_util.c callee: Byte-identical bodies (cmplwi r3,0 / beqlr / stb r4,0x1(r3) / blr), sa
fn_80135A60 -> gamedataAttestBiosSetVerId  // game/effect/effect_util.c callee: Byte-for-byte identical: both size 0x10, exact 4-instr sequence (cmplw
fn_80135A70 -> gamedataAttestBiosGetLangareaId  // game/effect/effect_util.c callee: Byte-identical bodies, both size 0x18: cmplwi r3,0 / bne / li r3,0 / b
fn_80135A88 -> gamedataAttestBiosGetAreaId  // game/effect/effect_util.c callee: Both leaf fns are byte-identical (size 0x18, 6 instrs): cmplwi r3,0/bn
fn_80135AA0 -> gamedataAttestBiosGetGenId  // game/effect/effect_util.c callee: Bodies byte-for-byte identical: both size 0x18, same 6-instr leaf gett
fn_80135AB8 -> gamedataAttestBiosGetVerId  // game/effect/effect_util.c callee: Byte-for-byte identical bodies: both 0x18/6 instrs, same cmplwi r3,0 /
fn_80135B0C -> gamedataBiosGetGamedataAtttestPtr  // game/effect/effect_util.c callee: Byte-for-byte identical bodies (28030000 4C820020 38600000 4E800020), 
fn_80135B1C -> gamedatasaveBiosSetOptionAudio  // game/effect/effect_util.c callee: Byte-identical bodies (size 0x10): cmplwi r3,0 / beqlr / stb r4,0x22(r
fn_80135B2C -> gamedatasaveBiosSetOptionNoVibration  // game/effect/effect_util.c callee: Byte-identical 0x10 leaf setter (cmplwi r3,0 / beqlr / stb r4,0x21(r3)
fn_80135B3C -> gamedatasaveBiosSetFloorposindex  // game/effect/effect_util.c callee: Byte-identical: both size 0x10, exact same 4 insns (cmplwi r3,0; beqlr
fn_80135F90 -> koukaDataBiosGetLink  // game/effect/effect_util.c ordinal: Instruction-identical: both 0x2C, zero bl calls, same shape (lwz count
fn_80136024 -> koukaDataBiosGetStatus  // game/effect/effect_util.c ordinal: Both size 0x2C leaf fns with identical instruction sequence (lwz sda21
